退款多久到	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5556.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
有货，吗	建议您可以在商品页面价格下方的“送至”位置，选择您要送达的收货地址，会有显示是否有货哦~
有人上门安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
在不在	在呢在呢，人海茫茫~~能够遇见您是我的幸运~
你好在吗	hi~~ 我是果果，很高兴为您服务!
谢谢啊	哈！路见不平一声吼啊~这就是我，请不要崇拜我。我不是神话，我只是果果。
不好意思	没关系
谢谢您	哈！路见不平一声吼啊~这就是我，请不要崇拜我。我不是神话，我只是果果。
还在吗	嗯嗯，在呢
这样啊	嗯啊~~
什么区别	部分商品在商品标题右侧有【对比】按钮，可选择加入对比，无对比按钮，建议您可点击商品页面右侧“联系供应商”按钮或者商家的“在线客服”按钮进行咨询哦，也可以在商品页面下方发表商品咨询哦~
有什么区别	部分商品在商品标题右侧有【对比】按钮，可选择加入对比，无对比按钮，建议您可点击商品页面右侧“联系供应商”按钮或者商家的“在线客服”按钮进行咨询哦，也可以在商品页面下方发表商品咨询哦~
有什么区别啊	部分商品在商品标题右侧有【对比】按钮，可选择加入对比，无对比按钮，建议您可点击商品页面右侧“联系供应商”按钮或者商家的“在线客服”按钮进行咨询哦，也可以在商品页面下方发表商品咨询哦~
有什么区别呢	部分商品在商品标题右侧有【对比】按钮，可选择加入对比，无对比按钮，建议您可点击商品页面右侧“联系供应商”按钮或者商家的“在线客服”按钮进行咨询哦，也可以在商品页面下方发表商品咨询哦~
几款有什么区别	部分商品在商品标题右侧有【对比】按钮，可选择加入对比，无对比按钮，建议您可点击商品页面右侧“联系供应商”按钮或者商家的“在线客服”按钮进行咨询哦，也可以在商品页面下方发表商品咨询哦~
有什么区别吗	部分商品在商品标题右侧有【对比】按钮，可选择加入对比，无对比按钮，建议您可点击商品页面右侧“联系供应商”按钮或者商家的“在线客服”按钮进行咨询哦，也可以在商品页面下方发表商品咨询哦~
这俩件有什么区别啊	亲，商品页面点击对比方框，就可以出现商品区别了哦~~~ 
是正品吗	请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
正品保证吗	请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
是正品保证吗	是正品，请放心。
正品行货的吗	请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
是 正品吗	请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
是正品原装吗	请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
是正品行货吗?	是正品，妥妥的。
正品吗啊	是正品，请放心。
我知道	恩恩，就是这样的呢，感觉棒棒的呢~
谢谢亲	嘿嘿~不客气呢
包安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
送货到后，包安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
谢谢哈	我叫红领巾
我知道了	恩恩，就是这样的呢，感觉棒棒的呢~
可以货到付款吗	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5036.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
好谢谢	嘿嘿~
没有了谢谢	拯救世界一直都是我的夙愿，奥特曼是我的偶像，这点小事不算什么，将来我会成名的，需要我的签名吗。
有人在吗	恩呢，您好，在的哦~
我再看看	嗯，好的呢，等您哟~
非常感谢	哈！路见不平一声吼啊~这就是我，请不要崇拜我。我不是神话，我是果果。
亲在吗	Hi，我在呢，请问需要什么帮助？
已经付款了	已经支付成功的话还请您耐心等待下哦，我们会尽快对账完成的。
从哪里发货	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
从哪里发货呢	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
从哪里发货啊	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
是从哪里发货	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
嗯好的	嗯啊~~
有现货吗	您可以在商品页面选择您希望收货地区后查看库存状态，商品页面都是会显示的呢。
有现货吗 这款	您可以在商品页面选择您希望收货地区后查看库存状态，商品页面都是会显示的呢。
有赠品吗	么么哒，具体活动还请您查看商品页面哦~~~
这个有赠品吗	么么哒，具体活动还请您查看商品页面哦~~~
宝贝有赠品吗	么么哒，具体活动还请您查看商品页面哦~~~
有其他赠品吗	么么哒，具体活动还请您查看商品页面哦~~~
支持货到付款吗	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5036.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>;
支持货到付款嘛	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5036.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>;
有优惠吗	亲，网站的价格都是正常销售价格，不议价哦，相比其他家已经很优惠啦，看好了就赶紧下手吧，么么哒~
你好有优惠吗	亲，网站的价格都是正常销售价格，不议价哦，相比其他家已经很优惠啦，看好了就赶紧下手吧，么么哒~
保修多久	您可以在商品页面点击【售后保障】看到该商品的具体售后服务和保修期，请您放心选购。
这款有货吗	亲，请您在商品页面“送至”后面选择您的收货地区，即会显示是否有货哟~
在吗亲	在
麻烦您了	我就是雷锋侠。
什么时候有货	如果页面显示您当地无货，建议在网城页面提交“到货通知”，商品到货后会通过短信及邮件通知您，另现在网站活动较多，可选商品也比较多，您也可以进行对比选择其他款的宝贝哦~~ 
这个有货吗	您可以在商品页面选择您希望收货地区后查看库存状态，商品页面都是会显示的呢。
谢谢哦	天空飘来5个字...“这都不叫事”
哪里发货	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
下单了	嗯呢 好哒哦~
辛苦了	嘿嘿~
好的吧	嗯嗯
我已经付款了	已经支付成功的话还请您耐心等待下哦，我们会尽快对账完成的。
非常满意	嘿嘿~
没了谢谢	我叫红领巾。
免费安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
打扰了	诶呦~这就是我果果，萌萌哒，么么~
我下单了	发货时会按照订单中的商品颜色、尺码、数量发货，商品均为正品行货，质量都是有保障的，还请您放心。
已经下单了	爱你一万年！
全国联保吗	您可在商品页面【售后保障】栏查看商品是否全国联保。
我已经下单了	爱你一万年！
有人么	在呢在呢，有什么要问果果的啊
没问题了	感谢理解哦。
从哪发货	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）~
恩好的	好样的，让我们击掌欢呼吧，呼呼~
多谢了	我就是要拯救世界，然后下辈子娶到您。
好的好的	嗯啊~~
有货么	您可以在商品页面选择您希望收货地区后查看库存状态，商品页面都是会显示的呢。
是正品吧	请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
请问在吗	嗯哼？欢迎您，有疑问就咨询我吧
怎么办呢	看样子这是个世界难题
我现在下单	先在商品页面选择商品颜色、尺码、数量等信息，选择后将商品加入购物车，点击结算按钮并按提示操作即可，注：部分预定商品不能下单购买。
能货到付款吗	<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5036.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
有活动吗	商品活动会在页面详细显示，如遇活动规则其他问题可以联系人工客服为您解答哦
我考虑一下	今天果果没吃药，感觉萌萌哒
好的谢谢了	恩恩
安装收费吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
现在下单	发货时会按照订单中的商品颜色、尺码、数量发货，商品均为正品行货，质量都是有保障的，还请您放心。
谢谢您了	我就是雷锋侠。
好的知道了	恩恩
那谢谢了	我头上长犄角，犄角，我就是龙人，让正气充满整个世界吧
在不在啊	嗯嗯，在呢
几天到货呀？	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
几天到货啊	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
几天到货呢	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
帮我查一下	是不是需要果果来帮忙解决，说说说，先让果果听听。O(∩_∩)O	
帮我查一下我的那个订单	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
帮我查一下是否取消了订单	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我想改地址怎么办	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
我能改地址吗	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
能不能改地址	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
要改地址	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
怎么改地址	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
可以改地址吗	亲爱滴~ <a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想要修改的订单，若订单详情页有【修改订单】按钮，可尝试修改详细地址，所在地区无法变更哦~；若无，建议您取消订单重新下单，重新下单价格以结算页显示价格为准哦。
我的这个单子发货了吗	亲爱滴~麻烦您<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想查询的订单查看订单详情。
怎么看我下的单子啊	<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我的定单发了吗	亲爱滴~麻烦您<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>选择您想查询的订单查看订单详情。
我的单子明天能到吗	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>进入订单中心即可查看物流跟踪信息
我下的订单怎么找不到了	请核对您登录查询的账户是否为下单账户，目前仅支持查看下单账户订单。 登录下单账户，订单已提交成功的情况下，<p>如需查看订单，请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
订单下单了一直不确认受理啊	提交订单后系统一般会及时确认订单，在促销活动高峰期或者系统升级时有可能会因订单量暴增出现订单延迟确认的情况，希望您不要着急，耐心等待下哦。
请问我现在下单什么时候能收到贷	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
我现在下单什么时候能收到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
我现在买什么时候能送达	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
今天拍，什么时候能收到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
请问今天订货什么时候可以送到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
今天下单什么时候可以收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
当天什么时间下单可以到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
今天下单 当天能送到吗	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
当天下单能到货吗	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
请问几时可以到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
几时可以发货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
到货后几时可以安装	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
请问我的订单什么时候可以到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
请问什么时候可以到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
你们的快递太慢了	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
今天下单明天能到货吗	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
现在下单 明天能收到货吗	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
今天天下单，明天是否能到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。	
在珠海今天下单明天能到货吗	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；国美小件商品配送：自下单起24小时内出库，点击<a href="http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0">http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0</a> 查询配送时效；供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；第三方商家配送：自下单起48小时内出库，除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区一般7个工作日内，偏远地区12个工作日内送达。
