货到付款	亲好，如果您想货到付款购买商品，联系在线<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dff4c73425522d7f34fa1fb578cc16d20%26timestamp%3D1483423376172&page=0&enterurl=http://help.gome.com.cn/question/9.html?intcmp=sy-public01023&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=162&subject=%E5%9C%A8%E7%BA%BF%E5%92%A8%E8%AF%A2"><strong><span>人工客服</span></strong></a>####帮您提交订单哦
美豆的获得方式有哪些，如何使用？	1、消费得美豆：单笔订单实际支付金额大于等于50元，方可享受美豆回馈；美豆回馈数量为实际支付金额的10%，小数点后不计算。####例如：111元只送11美豆。确认收货后系统自动赠送美豆，如您购买的商品产生退货，系统会扣除购物所赠美豆，若美豆已使用则在退款金额中扣除相应金额，按照1：100进行折算，即1元折算100美豆。####2、评价得美豆：会员在订单完成后180天内提交评价，评价生效后即可获得美豆；部分商品不参加评价得美豆；同一订单相同商品，仅能评价1次，获得1次评价美豆；系统默认好评不返美豆，但系统默认好评后追评生效后可获得美豆。3、活动得美豆：商城会不定期举办美豆活动（详情请参考活动细则）。####4、纠错得美豆：会员在每个商品页面的具体参数内发现错误后，通过点击“欢迎纠错”填写错误描述并提交，经确认后我们将进行更正，并给予第一位发现此错误的用户一定的美豆，数量以审核通过后的美豆为准。 5、晒单得美豆：订单中单个商品可参与晒单一次，晒单给予1威望的奖励，优质晒单最高奖励为3威望（威望的作用：威望可1:100兑换国美在线美豆）
已售完商品什么时候可以到货？	 请您使用“到货通知”功能，我司在积极组织货源，具体到货时间无法准确告知，需要根据厂家具体的生产|供货情况。我司会在货到后以短信或邮件方式通知您操作步骤：在您要购买的商品页面库存显示“无货”后，点击“到货通知”，并选择商品无货地区所在省、市。以及填写您本人的邮箱、手机号后点击“提交”
如何激活优惠券	 为了保障您的账户安全，针对下单使用优惠券的用户，国美在线做了相应安全设置，您登陆网站订购使用优惠券时，会提示激活优惠券的情况。优惠券激活方式如下：首先确保您的手机已经激活，然后点击我的国美----个人中心----账户安全，设置您的帐户支付密码后虚拟账户会自动激活，激活后方可使用优惠券
怎么评价？	 商品评价可以通过两个渠道去操作，1.点击我的订单，在右侧菜单栏点击“我的评价”，评价中会显示您所有未做过评价的订单；2.用商品型号在网城主页面搜索到此商品，在商品介绍栏第三项有个“商品评价”点击商品评价中的红色字体“我要评价”即可
修改手机绑定	 1、如您已验证手机可在“我的国美”-“个人中心”-“个人资料”中点击修改手机自助修改。2、如您原绑定手机已丢失或者无法获取到验证码，请您提供会员账号、首次下单收货人姓名、联系电话及需更改的手机号至人工客服，为您操作。
是否为正品行货	 请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票
识别发票真伪	识别发票真伪，请登录北京市国家税务局网站，<a href="www.bjsat.gov.cn">www.bjsat.gov.cn</a>####首页查询，点击“发票查询”栏目，依次连续输入：发票代码、发票号码和密码后进行查询 ；
优惠券使用规则	1、红券可用于购买国美在线自营商品、店铺商品和延保服务；####2、红券可全场通用（黄金、汽车、礼卡礼券类商品除外），单张订单可最多累积使用1张红券；####3、使用红券支付时，红券金额须小于订单总金额，红券最多可使用金额=订单总额-（商品数×1元），例如：订单中含5件商品，总金额为100元，则最多可使用红券金额为：100-（5×1）=95元；差额部分需您选择其他支付方式来支付；####4、团购、抢购商品，目前支持红券支付。
退款时间	当您已支付的订单，在成功操作订单取消、订单拒收返回我司库房、退货商品入库完成后会产生关联退款，退款会根据您的支付方式自动选择虚拟账户、原路返回两种退款方式。您可以通过点击<a href="http://myhome.gome.com.cn/member/myReturnGoodList">http://myhome.gome.com.cn/member/myReturnGoodList</a>####查看退款处理状态；各支付方式对应退款时间可点击<a href="http://help.gome.com.cn/question/5556.html">http://help.gome.com.cn/question/5556.html</a>####查询"
退款说明	当您已支付的订单，在成功操作订单取消、订单拒收返回我司库房、退货商品入库完成后会产生关联退款，退款会根据您的支付方式自动选择虚拟账户、原路返回两种退款方式。您可以点击<a href="http://myhome.gome.com.cn/member/myReturnGoodList">http://myhome.gome.com.cn/member/myReturnGoodList</a>####查看退款处理状态。
企业账号注册说明	请您在国美在线首页注册栏填写企业账户注册信息，申请注册打开：<a href="http://enterprise.gome.com.cn/?intcmp=help-1000043260-1"><span style="">http://enterprise.gome.com.cn/?intcmp=help-1000043260-1 </span></a>####此链接注册
无理由退换货	 亲，请您放心，我司有完善的售后体系，自商品妥投之日起，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，（第三方店铺的商品需要您联系店铺处理）涉及费用及相关详情，您可以参考：<a href="http://help.gome.com.cn/article/307-0-0.html">http://help.gome.com.cn/article/307-0-0.html </a>
怎样保证我的账户安全?	账户密码应设置为字母、数字、符号的搭配组合，密码位数不要过短；验证常用手机号和邮箱；#### 设置账户支付密码；####建议定期更换账户登录密码。
在哪激活手机、邮箱？	登录国美账户后，点击我的国美-账户安全，进入后进行手机和邮箱验证，
这款商品什么时候做活动降价？	 您好，网页商品无法明确具体的活动细则，可将您喜欢的商品设置降价通知功能获得商品的促销信息。
购买商品都可以使用什么支付方式？	货到付款（刷卡或现金）、在线支付、公司转账、邮局汇款、账户余额支付（因部分商品不支持货到付款，具体支付方式请以订单支付信息为准）
订单已经付款了，为什么订单一直没显示？	首先请您确认是否支付成功，当您完成网上在线支付过程后，系统会提示支付成功。如果系统没有提示支付失败或成功，您可通过电话、ATM 、柜台或登录网上银行等方式查询银行卡余额，如果款项已被扣除，说明您已支付成功；< 如果出现信用卡超额透支、存折余额不足、意外断线等原因导致支付不成功，请您登录国美在线“我的订单”，找到该张未支付成功的订单，重新完成支付；####  如果使用公司转账或者邮局汇款的方式支付订单，需及时点击确认付款的按钮，订单才会变更为已付款状态；####  如订单仍然显示未付款状态，请联系在线客服或拨打热线电话：4008-708-708进行核查处理；
分期怎么操作？	选购商品，加入购物车，提交订单；  当订单支付金额大于等于100元时，可选择分期付款；#### 点击在线支付，选择信用卡分期付款，选择分期期数，付款金额=订单总金额+分期手续费；####点击下一步，付款即可。
分期付款的每期利率是多少？	信用卡持卡人在国美在线进行购物,当您的订单应付金额在300元至50000元（此金额为订单应付金额）时可以选择使用信用卡分期付款。您可以选择将刚买商品的总价平均分成3期、6期、12期支付，并通过网络使用信用卡即时完成分期付款，持卡人再根据信用卡账单按时偿还每期（月）款项，国美在线目前只支持招商银行分期付款服务，分期的期数不同，利率及退货后的手续费有所不同，分期付款流程可进入帮助中心--安全支付--分期付款进行详细了解。http://help.gome.com.cn/article/234-0-0.html
我使用分期付款，如果退货了，手续费怎么返还呢？	"在支付成功后因订单取消、拒收、退货而发生的退款，我们会将对应的退款金额原路返回至支付的信用卡中，不会扣除您的手续费，一般退款到账时间在15个工作日内。当您申请非全额退款时，后续银行账单上还会有分期扣款。
退货后，优惠券怎么返还给我呢?	单件商品将退还全额优惠券；多件商品，系统按购买商品使用优惠券金额所占商品金额比例进行拆分核算，然后根据比例返还优惠券。
商品有问题怎么退换货？	国美在线承诺自商品妥投日期起如发现商品有质量问题，7日内可退换货，15日内可换货，您可自助提交退换货申请或与在线客服联系
换货商品处理时间	商品属性及客户所在区域不同，审核时间及客户所在区域进行计算，详情可进入服务中心-配送查询中查看。
退换货需要运费吗？	 因产品质量问题产生的退换货商品邮寄费用由国美承担以红券方式返还，无理由退换货费用由客户承担，具体可参考服务中心--退换货服务中查看。
能在门店直接换货吗？	 目前国美在线与实体门店是分开独立运营的，无法满足您在门店办理换货的需求，请您谅解。
商品收到没发票怎么办？	请先在包装及夹缝中仔细查找； 发票由当地库房开具，随订单一同发出，部分商品和增值税发票会在您签收后再进行邮寄（备：由供货商直接配送商品的发票由国美另行寄出，如您急需发票可发送邮至:service1@gome.com.cn邮箱，邮件标题请注明“发票+1开头的配送单号”）； #### 内容需要：####1）配送单号####2）姓名####3）联系电话####4）订单妥投时间####5）发票邮寄地区####6）商品型号####7）更改发票邮寄地址/其他订单号码####联系客服，您可以选择在线客服、或客服电话4008-708-708
开发票应该怎么填写？	如果您购买的是数码类、手机及配件、笔记本、台式机、家电类商品，为了保证您能充分享受生产厂家提供的售后服务（售后服务需根据发票确认您的购买日期），不管您是否需要开具发票，我们都将随单为您开具，发票内容默认为您订购的商品全称。如果您修改为其他内容的发票，则该商品的发票无法享受售后退换货、维修服务。请您谨慎选择发票内容。  发票金额不能高于订单金额。####  不同库房发货订单，开具的发票无法合并。####  发票金额只包含订单商品金额，使用优惠券支付的金额不开具发票。####  如果您使用优惠券购买商品，支付金额为零时，无法为您开具发票，请您理解。</p>####详情点击 http://help.gome.com.cn/question/36.html
没有发票能退换货吗？	您好，发票丢失可以办理退货的，但是需要您承担相应的发票税点，计算公式为：商品金额/1.17*0.17
发票内容能改吗？	如您有特殊情况，需要修改发票内容，您可以选择联系在线客服或者拨打客服电话4008-708-708，客服人员将为您协调解决；  若发票内容是由于工作人员失误造成的，经核实后可以进行修改。
门店支付	如您需要使用门店支付，可点击此链接查询详情：<a href="http://help.gome.com.cn/article/235-0-0.html">http://help.gome.com.cn/article/235-0-0.html </a>
预售	亲，如您需要购买预售商品，可点击 http://myhome.gome.com.cn/member/myReservation 查询详情！
电子发票	 亲，待您的订单妥投后确认收货后，在订单详情发票栏中点击下载即可
在线支付有手续费吗？	在线支付是没有手续费的（信用卡分期付款除外）。
为什么“支付被拒绝”？	造成“支付被拒绝”的主要原因：####您使用的银行卡尚未开通网上支付功能，银行卡内余额不足，超出支付限额，输入的证件号、银行卡卡号或密码不符，所持银行卡已挂失、作废、过期，网络中断等原因。
开通快捷支付有什么好处？	方便：不用跑银行开网银，有卡就能付，无需随身携带U盾；####快捷：30秒完成快捷支付及开通，10秒完成支付；####安全:信息输入和处理严格加密保护，手机验证支付，保障资金安全。
平台支付都有哪些支付方式？	银联在线支付、支付宝、快钱、微信支付、翼支付（<a href="http://help.gome.com.cn/question/5062.html">http://help.gome.com.cn/question/5062.html</a>）
什么是银联在线支付？	银联在线支付，是由银联向您提供的银联卡支付交易服务，目前支持银联在线支付、无卡支付、网银支付三种方式，在使用过程中需遵循银联卡使用规则及协议【参看银联支付协议】。银联在线支付较为便捷，无需开通网银，且不受网银介质、插件等影响，单笔限额最高3万元（根据不同银行设置最高可达20万）【查看银联在线支付限额】，推荐您使用。
选择网银支付如何付款？	如您已开通网银服务，支付时勾选相应开卡银行，使用网银完成支付，若您在网银支付过程中遇到问题请咨询开卡行客服进行咨询。查看网银支付限额（<a href="http://help.gome.com.cn/question/5058.html">http://help.gome.com.cn/question/5058.html</a>）
银联在线支付流程	银联在线支付，通过“选择银联在线支付、输入银行卡信息、验证并确认支付”等步骤即可完成。####1、在支付平台中选择“银联在线支付”####2、输入卡号####3、输入银行卡密码、银行预留手机号、短信验证码点击开通并付款####4、付款成功
开具发票时商品品类说明	电器类商品包括：手机、对讲机、手机配件、照相机、摄像机、照片打印机、摄照配件、数码黑小、移动设备、GPS导航、笔记本、台式机、平板电脑、电脑配件、厨房电器、厨房小家电、卫浴电器、水设备、环境电器、美容美发、按摩保健、测量仪、衣物护理、日用家居、办公设备、办公耗材、办公文具、办公家具、电视、家庭影音、冰箱/冷柜、洗衣机、空调、创意电器、时尚3C、运营商、五金建材、汽车用品、家庭治疗仪、家庭测量仪、建材、汽车用品；####图书类商品包括：图书，音像制品，教材；####百货类商品包括：电器类、图书类商品外的其他商品；
联营商品是否也可以享受此发票相关制度？	此制度只针对国美在线自营商品。
发票遗失，是否可以补开？	您收到商品时，请检查发票并在送货签收单上签字。一旦签字，即代表您已经收到发票，并且发票无误。对于客户人为因素引起的发票遗失，我们将无法为您补开。
发票开具特殊说明	为了您的个人利益建议您发票抬头使用“个人”或“姓名”，如发票抬头为公司名称，有可能部分品牌保修时间会从商品出厂时间起进行计算。
如何选择开具电子发票？	在提交订单页，填写“发票信息”时可以选择“电子发票”选项http://help.gome.com.cn/question/5097.html
下单后，什么时间能获得电子发票？	货到付款的订单一般在订单完成后的第二天即可获得电子发票。在线支付的订单，一般在订单完成后即可开具电子发票。
如何获取电子发票？	订单完成后，用户可在“订单详情页”中的“付款信息”页面下载PDF格式电子发票。http://help.gome.com.cn/question/5099.html
