cat10000070	手机
cat33526502	摩托车定金
cat33526503	摩托车全款
cat21435580	被子
cat21435581	床单被套
cat15965710	抱枕/靠垫
cat10005462	床垫/床褥
cat10005460	床品件套
cat10005461	枕芯枕套
cat15965711	毛巾被/毯
cat10005463	电热毯
cat21435583	床品件套
cat21435584	酒店装饰
cat21435586	酒店毛巾
cat21435587	品牌被褥
cat21435588	舒眠床垫
cat21435589	枕芯枕套
cat21435593	浴衣/浴袍
cat21435594	方巾
cat21435595	毛巾套装
cat16035645	浴巾
cat16035647	面巾
cat16035639	运动毛巾
cat16035642	童巾
cat16035624	枕巾
cat16035620	美容巾/干发帽
cat16035649	茶巾
cat21435596	其它
cat21435597	凉品套装
cat21435598	凉枕
cat21435599	蚊帐
cat21435600	夏凉被
cat10005464	凉席
cat21435601	抱枕靠垫
cat21435604	儿童被毯
cat21435606	枕芯枕套
cat23055654	床围床垫
cat16035640	其他
cat16035612	睡袋抱被
cat16035650	儿童件套
cat16035641	儿童毛巾
cat21435576	窗帘/窗纱
cat21435579	桌布/桌旗
cat21435577	地毯/地垫
cat21435575	布艺饰品
cat21435591	家居服
cat21435590	创意小件
cat21435592	家居鞋
cat23055653	十字绣
cat23055650	沙发套/垫
cat23055651	门帘
cat23055652	飘窗垫
cat15985684	单肩包
cat15985691	配饰
cat21455991	钱包/卡包
cat21455993	手提包
cat21455995	斜挎包
cat21455989	拉杆包
cat21455990	拖运箱
cat15985665	旅行包
cat15985666	旅行配件
cat15985664	登机箱
cat15985655	钱包/卡包
cat15985656	手包
cat15985659	斜挎包
cat10005484	皮带/礼盒
cat15985657	商务手提包
cat10005509	钱包/卡包
cat10005501	手拿包
cat10005490	单肩包
cat10005487	双肩包
cat10005489	手提包
cat12756235	斜挎包
cat21455985	时尚腰带
cat15985663	电脑包
cat15985667	休闲运动包
cat15985668	登山包
cat15985670	学生包
cat21455987	工具包
cat21455988	数码/摄影包
cat21675728	贴剂
cat21675729	急救用品
cat21675730	清洗消毒
cat21675731	医护用品
cat21675732	面部养生
cat21675746	空气净化
cat21675747	水净化
cat21675748	蛋白粉
cat21675749	胶原蛋白
cat21675750	钙
cat21675751	螺旋藻
cat21675752	酵素
cat21675753	玛咖
cat21675754	辅酶Q10
cat21675755	维生素/矿物质
cat21675756	葡萄籽素
cat21675757	鱼油
cat21675758	卵磷脂
cat21675759	大豆异黄酮
cat21675760	左旋肉碱
cat16035622	褪黑素
cat16035619	叶酸
cat16035623	番茄红素
cat16035613	保健茶饮
cat21675761	阿胶
cat21675762	枸杞
cat21675763	冬虫夏草
cat21675764	蜂产品
cat21675765	燕窝
cat21675766	参产品
cat21675767	人参
cat21675768	高丽参
cat21675769	三七
cat21675770	铁皮/石斛
cat21675771	红景天
cat21675772	中草花
cat21675773	雪蛤油/蛤蟆油
cat21675774	药食同源物品
cat21675775	鹿茸
cat23515542	灵芝/孢子粉
cat16035616	黄芪
cat16035617	男士营养
cat17295687	血糖测量
cat17295697	心率/心电测量仪
cat17295689	体温计
cat17295690	体重/脂肪测量
cat17295691	计步器
cat17295688	血压计
cat17295692	助听器
cat17295693	制氧机
cat17295695	雾化器
cat17295696	其他治疗仪
cat21675737	助行用具
cat21675736	呼吸机
cat21675735	护理床
cat21675734	理疗仪
cat21675738	护理用品
cat10005466	安全避孕
cat10005469	情爱玩具
cat10005470	情趣内衣
cat10005468	润滑/延时
cat10005467	验孕测孕
cat17765750	两性护理
cat21675712	滋补调养
cat21675713	男科/妇科
cat21675714	感冒/清热
cat21675715	儿童用药
cat21675716	皮肤外伤
cat21675717	五官用药
cat21675718	心脑血管
cat21675719	胃肠/肝胆
cat21675720	风湿/骨痛
cat21675721	消炎/抗生素
cat21675722	神经/精神
cat21675723	内分泌/新特药
cat21675740	慈铭体检卡
cat21675741	国宾体检卡
cat21675742	瑞慈体检卡
cat21675743	九华体检卡
cat21675744	民众体检卡
cat21675745	美年体检卡
cat16035618	亿康体检
cat21675724	美瞳
cat21675725	隐形眼镜
cat21675726	护理液
cat21675727	眼镜配件
cat11285699	老花镜
cat11285706	装饰眼镜
cat11285703	防辐射眼镜
cat11285702	近视眼镜
cat11285652	肝肾养护
cat11285647	美体塑身
cat11285657	明目益智
cat11285640	调节三高
cat11285639	肠胃养护
cat11285645	足部养生
cat11285644	骨骼健康
cat11285650	美容养颜
cat11285669	缓解疲劳
cat11285671	免疫调节
cat11285700	耐缺氧
cat11285707	改善睡眠
cat11285701	抗氧化
cat15985831	电源
cat15985832	冷暖箱
cat15985833	净化器
cat15985835	吸尘器
cat21755565	车载生活电器
cat10005475	导航仪
cat10005476	时尚影音
cat12495647	行车记录仪
cat15985829	安全预警仪
cat21755587	DVD
cat21755588	蓝牙设备
cat21455959	倒车雷达
cat10005478	挂饰摆件
cat10005479	功能精品
cat15985837	香水
cat10005511	整理收纳
cat21755571	颈枕腰靠
cat21755566	内饰精品
cat15985839	凉垫
cat15985840	毛垫
cat15985841	四季垫
cat15985842	座套
cat15985843	脚垫
cat15985844	多功能座垫
cat15985846	专车专用系列
cat15985847	后备箱垫
cat15985849	机油
cat15985851	防冻液
cat15985850	添加剂
cat15985855	空调养护
cat21755586	水箱养护
cat21755585	底盘装甲
cat21755584	刹车油
cat20805737	摩托车机油
cat12295903	车灯/灯泡
cat12295912	刹车片
cat12295913	轮胎
cat12295915	雨刷
cat15985864	喇叭
cat15985865	火花塞
cat15985867	滤清器
cat15985672	改装配件
cat15985674	蓄电池
cat15985878	车衣
cat21755576	贴膜
cat33555548	加油卡
cat10005483	车蜡
cat10005482	清洁剂
cat15985862	洗车配件
cat15985863	玻璃水
cat21755583	洗车机/水枪
cat21755581	补漆笔
cat20805717	底盘护理
cat15985872	儿童安全座椅
cat15985873	防盗设备
cat15985875	胎压监测
cat21755560	自驾装备
cat21755555	应急救援
cat20805704	电动平衡车
cat15985834	打气泵
cat20805726	司机眼镜
cat20805687	摩托车用品
cat21455615	油画
cat21455833	水彩画
cat21455827	水粉画
cat21455828	版画
cat21455834	铅笔画
cat21455802	丙烯画
cat15985701	雕塑 
cat21455832	装置
cat20805725	摄影作品
cat15985704	服装配饰
cat15555908	艺术家居
cat15555897	旅游纪念
cat15555896	创意礼品
cat15985669	限量版画
cat21455981	文创产品
cat21455831	奖杯奖章
cat15985698	书画复制
cat15985706	工艺品
cat21455980	景泰蓝
cat21455945	雕件绣品
cat21455947	钱币邮品
cat21455946	手串珠串
cat15985699	金银铜器
cat21455944	红木家具
cat15555898	文房清供
cat21455835	宗教藏品
cat15555895	民间工艺
cat15555907	其他杂项
cat21455614	茶器
cat21455925	花器
cat15985705	香器
cat15985700	陈设器
cat15555910	光货
cat15555911	筋囊货
cat21455836	花货
cat15555920	青花瓷
cat21455837	颜色釉
cat15985702	彩绘瓷
cat21455950	其他
cat15555909	把玩件
cat21455957	摆件
cat21455963	和田玉
cat21455960	翡翠
cat21455954	饰品
cat21455986	地方玉
cat21455830	赏石
cat21455969	章料
cat21455931	珠宝
cat15985679	其他
cat21455829	书法
cat21455777	国画
cat21455839	工艺礼品
cat21455924	婚庆用品
cat21455926	礼卡礼券
cat21455927	礼品文具
cat21455928	收藏品
cat21455929	鲜花速递
cat15985707	创意礼品
cat12495644	瑞士军刀
cat10005496	火机烟具
cat10000003	日韩品牌表
cat10005485	国产品牌表
cat10000331	瑞士品牌表
cat10000332	挂钟闹钟
cat15985556	时尚品牌表
cat15985708	儿童手表
cat15375782	翡翠玉石
cat10005525	钻石饰品
cat15555680	水晶玛瑙
cat15555679	时尚饰品
cat15965756	银饰品
cat15985697	金银投资
cat10005492	宝石珍珠
cat10005493	纯金K金饰品
cat33367117	计价类黄金
cat21445644	办公桌
cat21445616	办公茶几
cat21445630	办公沙发
cat21445629	办公隔断
cat21445645	保险柜
cat21445631	办公椅
cat21445646	更衣柜
cat21445647	文件柜
cat21445685	儿童床类
cat21445686	儿童书柜/架
cat21445687	儿童套装
cat21445688	儿童学习桌/椅
cat15965730	儿童衣柜/床头柜
cat21445690	边几/角几
cat21445691	餐边柜
cat21445692	层架
cat21445693	斗柜
cat21445694	隔板/壁架
cat21445695	隔断类
cat21445696	镜类
cat21445697	书柜
cat21445698	套几/炕几
cat21445699	箱类
cat21445700	衣柜
cat21445701	衣帽架
cat21445702	置物架
cat15965727	茶几
cat15965729	电视柜
cat15965728	鞋柜/换鞋凳
cat21445705	户外床
cat21445706	户外桌椅
cat21445707	花架/盆
cat21445708	秋千类
cat21445709	伞具
cat21445710	园艺工具
cat21445763	床
cat21445764	床垫
cat21445765	皮具保养
cat21445766	沙发
cat21445786	晾衣架
cat21445787	晒衣篮
cat21445788	升降衣架
cat21445789	衣架/裤架
cat15965726	晾衣杆
cat21445791	餐椅
cat21445792	餐桌
cat21445793	凳类
cat21445794	麻将桌
cat21445795	书桌
cat21445796	梳妆台
cat21445797	塌类
cat21445798	折叠/躺椅
cat15965724	电脑椅
cat15985569	衬衫
cat15985571	T恤
cat15985575	Polo衫
cat15985574	卫衣
cat15985580	夹克
cat15985583	风衣
cat15985581	皮衣/皮草
cat15985584	针织衫
cat15985577	西装
cat15985572	西服套装
cat15985573	西裤
cat15985576	休闲裤
cat15985582	牛仔裤
cat15985578	马甲/背心
cat15985579	棉服
cat15985570	羽绒服
cat15985585	大衣
cat21435631	羊毛衫/羊绒衫
cat21435608	短裤
cat15985633	商务鞋
cat15985641	休闲鞋
cat15985644	板鞋
cat15985636	帆布鞋
cat15985642	凉鞋/沙滩鞋
cat15985645	男靴
cat20805567	功能鞋
cat21435632	家居拖鞋
cat10000215	其他
cat15985548	衬衫
cat15985549	T恤
cat15985562	卫衣/绒衫
cat15985559	针织衫
cat15985558	西装
cat15985551	羽绒服
cat15985560	风衣
cat15985553	连衣裙
cat15985565	半身裙
cat15985552	休闲裤
cat15985561	牛仔裤
cat15985557	皮衣/皮草
cat15985554	棉服
cat15985550	毛呢外套
cat21425952	打底裤
cat21435630	中式服装
cat21435623	短外套
cat21435628	毛衣
cat15985618	单鞋
cat18776485	平底鞋
cat18776486	高跟鞋
cat18776487	帆布鞋
cat18776488	休闲鞋
cat15985628	凉鞋
cat15985629	女靴
cat15985614	雪地靴
cat15985690	家居拖鞋
cat18776489	家居服
cat18776491	睡袍/睡裙
cat15985596	文胸
cat15985593	塑身衣
cat15985591	女袜
cat15985592	男袜
cat15985594	女式内裤
cat15985595	男式内裤
cat18776490	抹胸/背心
cat18776492	保暖内衣
cat21425950	儿童系列
cat21425951	情趣内衣
cat33367116	打底裤/丝袜
cat15985607	太阳镜/眼镜
cat15985599	男式皮带
cat15985602	丝巾/披肩
cat15985601	帽子
cat15985605	围巾
cat15985603	手套
cat10000049	平板电视
cat10000054	冰箱
cat10000055	冷柜
cat10000239	酒柜
cat10000056	迷你冰箱
cat15985767	冰箱配件
cat10000062	空调
cat21455972	移动空调
cat15555742	空调配件
cat33526231	中央空调
cat10000058	洗衣机
cat10000061	迷你洗衣机
cat10000059	双缸洗衣机
cat10000060	干衣机
cat10000263	洗衣机配件
cat10000065	播放器
cat10000237	音响
cat10000235	影院
cat10000069	影音线材
cat10000337	线材转换器
cat10000339	其他配件
cat10000053	电视挂架
cat10000325	3D电视配件
cat10000323	插线板
cat10000326	保养配件
cat14875553	智能电视盒
cat15965733	炒锅
cat15965734	煎锅
cat15965735	压力锅
cat15965736	蒸锅
cat15965737	汤锅
cat15965738	奶锅
cat15965739	套锅
cat15965740	煲类
cat15965741	水壶
cat15965742	提锅
cat21435658	炖锅
cat21435659	多用锅
cat15965743	水果刀
cat15965744	剪刀
cat15965745	套刀
cat15965746	砧板
cat15965747	刀具配件
cat21435653	多用刀
cat21435654	切片刀/斩切刀
cat21435655	斩骨刀
cat10000217	密封罐 
cat15965748	保鲜膜/袋
cat21435615	置物架 
cat21435610	保鲜盒/碗
cat21435614	油壶 
cat21435609	米桶/米箱
cat15965749	塑料杯
cat15965751	玻璃杯
cat15965752	陶瓷紫砂杯
cat15965753	保温杯
cat15965754	保温壶/桶
cat15965758	咖啡具
cat15965759	茶具
cat15965757	酒具
cat10005458	居家软饰
cat10005456	收纳用品
cat10005459	洗晒用品
cat10005457	雨伞雨具
cat12495638	浴室用品
cat12495639	净化除味
cat15965721	缝纫用品
cat21445546	衣橱衣架
cat21445545	其他用品
cat21445544	家用保健
cat15965762	清洁工具
cat15985542	纸品湿巾
cat15985543	衣物清洁
cat15985544	驱虫除害
cat15985545	居室清洁
cat21445543	垃圾收纳
cat21445542	皮具护理
cat16035615	防护用品
cat21445564	一次性用品
cat21435618	出行装备
cat21435619	医护美容
cat21435620	宠物主粮
cat21435621	玩具服饰
cat21435622	宠物零食
cat21435627	营养保健
cat21435633	居家日用
cat21435640	铲子/勺子
cat21435641	厨房量秤
cat21435643	打蛋器
cat21435644	蛋糕模具
cat21435645	隔热手套
cat21435646	计时器/量杯/温度计
cat21435647	搅拌碗
cat21435649	磨刀器
cat21435650	其他工具
cat21435651	调味罐
cat21435652	微波用器具
cat23995542	餐具套装
cat23995543	刀叉/筷勺
cat23995544	盘/碗/碟
cat15965761	一次性餐具
cat21445548	水族食料
cat21445549	水族药剂
cat21445550	水族用具
cat15985689	益智用品
cat15985688	婚庆用品
cat15985687	工艺摆件
cat15985685	创意小件
cat21445660	创意灯
cat21445661	吊灯
cat21445662	节能灯
cat21445663	落地灯
cat21445664	台灯
cat21445665	吸顶灯
cat21445666	应急/手电
cat10005513	LED灯
cat20805711	户外灯
cat20805736	筒射灯
cat21445668	电线
cat21445669	断路器
cat21445670	接线板/插头
cat21445671	开关
cat21445672	门铃
cat21445673	面板
cat21445674	配电箱
cat10005521	插座
cat10000214	电工配件
cat20805730	安防监控
cat21445676	壁炉
cat21445677	采暖器
cat21445678	厨卫照明
cat21445679	地热
cat21445680	换气扇
cat21445681	扣板
cat21445682	散热器
cat21445683	浴霸
cat21445738	壁柜/衣帽间
cat21445739	窗
cat21445740	管材管件
cat21445741	楼梯
cat21445742	门
cat21445743	门窗密封条
cat21445744	木材板材
cat21445745	阳光房
cat21445747	壁纸
cat21445748	瓷砖
cat21445749	地板
cat21445750	地面保养
cat21445751	防水涂料
cat21445752	净化除味
cat21445753	涂刷辅料/工具
cat21445754	油漆涂料
cat21445777	家具五金
cat21445778	拉手
cat21445779	起重工具
cat21445780	施工保护
cat21445781	手动工具
cat21445782	锁具
cat21445783	智能居家
cat10005517	仪器仪表
cat10005529	电/气动工具
cat10005523	门用配件
cat10005535	厨房挂件
cat10005531	水槽
cat10005537	马桶
cat21445655	卫浴挂件
cat21445648	橱柜
cat21445651	淋浴房
cat21445652	淋浴花洒
cat21445658	浴缸
cat21445656	卫浴配件
cat21445650	净水
cat21445659	浴室柜
cat21445653	面盆
cat21445657	卫浴用品
cat21445649	地漏/角阀
cat21445654	水龙头
cat20805750	家装设计
cat20805716	装修施工
cat20805751	工程监理
cat20805722	水电改造
cat15555700	粉底遮瑕
cat15555701	腮红
cat15555719	眉笔
cat15555721	睫毛膏
cat15555738	眼影眼线
cat15555740	唇膏唇彩
cat15555741	美甲
cat15555743	彩妆组合
cat15555838	化妆工具
cat15555850	假发
cat15555774	卸妆
cat15555775	洁面
cat15555776	乳液面霜
cat15555777	面膜
cat15555778	眼部护理
cat15555808	套装
cat21675783	防晒隔离
cat21675784	化妆水
cat21675782	T区护理
cat21675785	精华
cat15555744	洗发护发
cat15555755	沐浴
cat15555765	洗护套装
cat21675800	手足护理
cat21675795	香薰精油
cat21675802	纤体瘦身
cat21675798	染发造型
cat21675801	脱毛膏
cat21675803	香皂
cat21675799	身体乳
cat21675796	磨砂
cat15555853	防脱洗护
cat15555854	脸部护理
cat15555855	剃须护理
cat15555872	身体护理
cat21675788	眼部护理
cat21675786	男士唇膏
cat15555891	女士香水
cat15555892	男士香水
cat15555893	香水套装
cat21675777	迷你香水
cat21675778	香体走珠
cat18388412	卫生巾
cat18388413	护垫
cat18388414	洗液
cat21675789	美容仪器
cat18388395	衣物清洁
cat21675790	居家清洁
cat21675793	驱虫用品
cat21675791	皮具护理
cat21675794	纸品湿巾
cat21675779	漱口水
cat21675780	牙膏牙粉
cat21675781	牙刷牙线
cat10000181	燃气热水器
cat10000199	油烟机
cat15985787	厨卫配件
cat15985711	烟灶套餐
cat15985612	壁挂炉
cat10000206	燃气灶
cat10000200	消毒柜
cat10000201	洗碗机/嵌入烤箱
cat10000182	电热水器
cat10000180	浴霸/换气扇
cat10000183	即热热水器
cat15985828	太阳能热水器
cat33376014	水处理设备
cat32616692	速热水龙头
cat33435574	热水器花洒
cat33516532	洁身器
cat10000203	微波炉
cat10000197	豆浆机
cat10000188	电饭煲
cat10000187	电压力锅
cat10000209	电磁炉/电陶炉
cat32616696	原汁机/榨汁机
cat10000192	料理机
cat10000208	电烤箱
cat10000178	面包机/多士炉
cat10000193	咖啡机
cat10000198	电水壶/电茶炉
cat10000185	电饼铛/烤饼机
cat32616697	烧烤炉
cat15985627	多用途锅
cat10000186	电蒸锅
cat32616695	电炖锅/炖盅
cat32616694	榨油机
cat10000191	酸奶机/冰淇淋机
cat10000179	打蛋器
cat32616693	煮蛋器
cat10000196	果蔬解毒机
cat21455953	其它厨房电器
cat10000329	商用厨房电器
cat21455948	厨房电器配件
cat32616698	厨具
cat20805685	炊具
cat20805731	电火锅
cat20805734	炸锅
cat33275943	养生壶/煎药壶
cat20805696	面条机
cat10000207	净水器/设备
cat10000190	饮水机
cat15985638	滤水壶
cat10000195	净水龙头
cat10000194	净水桶
cat15985613	滤料
cat15985610	净饮机/智饮机
cat10000230	空气净化器
cat10000227	取暖器
cat10000231	加湿器
cat10645562	除湿机
cat10000234	电风扇
cat10000229	空调扇
cat15985611	净化器滤网
cat11285698	其他环境用品
cat10000222	剃须刀
cat12515565	电吹风
cat15985624	理发器
cat15985621	鼻毛修剪器
cat15985615	美发器
cat15985625	剃/脱毛器
cat10000223	美容仪
cat10000224	电动牙刷
cat15985630	冲牙器
cat32616703	其他口腔护理
cat32616704	其它个人护理
cat10000219	吸尘器
cat10000211	挂烫机
cat15985623	干衣机/干鞋器
cat10000212	电熨斗
cat10000210	毛球修剪器
cat32616700	扫地机器人
cat32616702	清洁机
cat32616701	蒸汽拖把
cat21455962	插排
cat32616699	其他生活电器
cat10000404	创意家居
cat15985609	灭蚊驱蟑
cat20805744	真空包装机
cat18388420	甩脂瘦身
cat10000221	足浴盆
cat10000226	其它按摩器
cat15985622	电子秤
cat15985617	按摩椅
cat18388417	电动跑步机
cat21455616	其它健身器具
cat32616639	眼部按摩机
cat32616638	头部按摩机
cat32616626	按摩披肩
cat32616627	颈椎按摩枕
cat32616625	足疗机
cat15985626	其它健康电器
cat21455961	其它个人护理
cat32616629	按摩椅垫
cat32616640	计步器/脂肪检测仪
cat32616649	血压计
cat32616658	血糖仪
cat32616659	体温计
cat21455971	防尘面罩\防护系列
cat20805714	健身车/动感单车
cat20805679	家用制氧机
cat20805686	智能设备
cat20805739	智能骑行
cat11285704	家用雾化器
cat11285655	马桶/智能马桶盖
cat10000144	数码相机
cat10000145	单反相机
cat10000146	单电/微单相机
cat10000147	摄像机
cat21815788	拍立得
cat10000101	MID(移动互联网设备)
cat10000158	MP3/MP4/配件
cat10000159	音箱/扩音器
cat10000166	电子词典
cat10000168	电子教育
cat10000302	电子书/电子乐器
cat10000161	耳机/耳麦
cat10000066	高清播放器
cat10000172	录音笔
cat10000173	收/录音机
cat10000160	数码相框
cat22836924	智能穿戴设备
cat10000155	存储卡
cat10000149	单反镜头
cat10000154	单反配件
cat10000157	电池/充电器
cat10000153	摄照包
cat10000151	贴膜/清洁用品
cat10000152	三脚架/云台
cat10000150	滤镜
cat20805735	运动跟踪器
cat20805703	智能眼镜
cat20805740	其他配件
cat20805743	体感车
cat20805702	智能配饰
cat20805733	智能手环
cat20805723	智能手表
cat20805678	健康监测
cat20805701	智能家居
cat33408440	航拍设备
cat10000406	便携桌椅床
cat10000408	登山攀岩
cat10000409	户外工具
cat10000410	户外仪表
cat10000411	户外照明
cat10000412	旅游用品
cat10635554	户外垫子
cat10635553	垂钓用品
cat10635555	滑雪用品
cat10000413	睡袋
cat10000414	望远镜
cat10000407	野餐炊具
cat10000416	帐篷
cat16035553	其他户外用品
cat16035630	烧烤用品
cat16035632	急救卫生
cat16035556	军迷用品
cat16035558	打火机/军刀
cat16035609	户外背包
cat10635548	冲锋衣/裤
cat10635551	户外配饰
cat16035547	户外棉服
cat16035606	户外羽绒服
cat21655547	夹克
cat21655550	速干衣/裤
cat16035564	户外衬衫
cat21655549	软壳
cat21655546	滑雪服
cat16035552	户外T恤
cat21655548	军警迷彩
cat21655552	抓绒衣/裤
cat16035599	户外内衣
cat21655551	卫衣
cat10635543	POLO衫
cat21655565	运动T恤
cat21655570	运动长裤
cat21655569	运动套装
cat21655561	夹克
cat21655563	卫衣/套头衫
cat21655568	运动裙
cat21655566	运动背心
cat21655564	羽绒服
cat21655562	棉服
cat21655567	运动短裤
cat10645563	瑜伽垫
cat10005505	瑜伽服
cat10645564	瑜伽配件
cat21655728	其他
cat21655727	瑜伽鞋
cat21655726	瑜伽球
cat10635559	羽毛球
cat10635561	网球
cat10645538	乒乓球
cat10645539	篮球
cat10645540	足球
cat10645541	排球
cat10645542	其它
cat21655713	高尔夫球
cat10645544	健身器械
cat10645545	运动护具
cat10645547	运动器材
cat21655604	其他
cat21655716	武术搏击
cat10005507	泳衣/泳裤
cat10645550	泳镜
cat10645551	充气水池
cat21655719	泳帽
cat21655723	配件
cat21655720	泳圈坐圈
cat21655722	船组
cat21655724	潜水用品
cat21655553	登山鞋
cat21655554	户外袜
cat21655555	户外休闲鞋
cat21655556	沙滩鞋/拖鞋
cat21655557	溯溪鞋
cat21655558	徒步鞋
cat21655559	越野鞋
cat21655571	帆布鞋
cat21655572	篮球鞋
cat21655573	凉鞋/拖鞋
cat21655574	跑步鞋
cat21655575	乒乓球鞋
cat21655576	网球鞋
cat21655577	休闲鞋/板鞋
cat21655578	训练鞋
cat21655579	羽毛球鞋
cat21655580	足球鞋
cat21655581	运动包
cat21655582	运动表
cat21655583	运动帽
cat21655584	运动手套
cat21655585	运动袜
cat21655586	运动围巾
cat21655587	配件套装
cat21655588	其他配件
cat21655605	自行车整车
cat21655609	骑行服鞋
cat21655612	防护用品
cat21655614	工具配件
cat21655714	极限轮滑
cat21655729	按摩椅
cat21655730	能量环
cat21655731	足浴盆
cat21655732	其他
cat15985658	钢琴
cat10000236	电子琴
cat18388403	口琴/口风琴/竖笛
cat18388402	西洋打击乐器
cat18388405	乐器配件
cat18388408	电脑音乐
cat18388409	大/中/小提琴
cat18388407	音乐教材
cat18388406	台球用品
cat18388410	传统娱乐
cat18388399	吉他/贝司
cat18388401	西洋管弦乐
cat18388398	民族管弦乐器
cat18388393	手风琴
cat15555756	其他
cat21655715	棋牌麻将
cat10000092	笔记本
cat32385590	游戏本
cat10005442	超极本
cat10000094	平板电脑
cat10000097	台式电脑
cat10000093	台式主机
cat10000099	一体机
cat10000027	服务器
cat18388430	笔记本配件
cat15787568	iPad配件
cat15787569	移动电源
cat15787570	保护套
cat15787571	保护膜
cat15787572	彩贴
cat15787573	背壳
cat15787574	连接线
cat15787575	底座/支架
cat15787576	车载设备
cat15787577	触控笔
cat15787578	容量扩充
cat20965902	耳机
cat10000104	移动硬盘
cat10000103	U盘
cat10000107	鼠标
cat10000109	鼠标垫
cat10000108	键盘
cat10000110	摄像头/监控摄像
cat10000112	电脑音箱
cat10000096	其他配件
cat10000115	线缆
cat15787582	插座
cat10005426	平板电脑配件
cat10000095	笔记本包
cat10000114	电脑清洁
cat10000102	游戏设备
cat24327667	电视盒
cat24327668	手写板
cat24327669	外置盒
cat24327670	电脑工具
cat24327671	UPS（移动电源）
cat24327672	耳机
cat24327673	散热垫
cat24327674	笔记本电源
cat24327675	麦克风
cat10000292	装机散热器
cat10000119	DIY装机配件
cat15787580	光驱
cat10000286	内存
cat10000289	刻录机
cat24327658	CPU
cat24327659	主板
cat24327660	显卡
cat24327661	硬盘
cat24327662	机箱
cat24327663	电源
cat24327664	显示器
cat24327665	声卡/拓展卡
cat24295579	游戏软件
cat21455976	DIY整机
cat10000116	路由器
cat15787584	网卡
cat15787585	3G上网
cat15787586	交换机
cat10000126	打印机
cat10000127	一体机
cat10000128	传真机
cat10000131	扫描仪
cat10000129	复印机
cat10000130	投影机
cat10000132	碎纸机
cat10000241	硒鼓
cat10000387	墨盒/墨粉
cat10000388	色带
cat12515561	投影配件
cat10000138	电话机
cat10000143	保险箱
cat10000134	点钞机
cat10000133	考勤设备
cat10000137	白板/封装
cat10000384	支付设备
cat10005444	办公文具
cat10005450	学生文具
cat10005452	纸类
cat10000141	计算器
cat10005448	文件管理
cat10000139	刻录碟片/附件
cat10005446	笔类
cat10000418	激光笔
cat25735711	电脑远程服务
cat15985728	学前奶粉
cat15985730	特殊配方
cat15985729	羊奶粉
cat15985731	妈妈奶粉
cat10000124	1段奶粉
cat10000122	2段奶粉
cat10000123	4段奶粉
cat10000125	3段奶粉
cat15985732	泥糊/果汁
cat15985733	米粉/菜粉
cat15985737	长牙期食品
cat15985736	肉松/面类
cat15985738	宝宝零食
cat15985742	DHA
cat15985740	钙铁锌硒
cat15985748	孕产妇营养
cat15985741	清火开胃
cat15985745	维生素
cat15985743	调节肠胃
cat15985809	绿色食用油
cat15985754	餐具饮具
cat15985752	辅助用品
cat15985756	奶瓶/奶嘴
cat15985755	暖奶/消毒
